N|FIPS|ADM3|ADM2|ADM1|KEY|LAT|LON|T|01/22/2020|01/23/2020|01/24/2020|01/25/2020|01/26/2020|01/27/2020|01/28/2020|01/29/2020|01/30/2020|01/31/2020|02/01/2020|02/02/2020|02/03/2020|02/04/2020|02/05/2020|02/06/2020|02/07/2020|02/08/2020|02/09/2020|02/10/2020|02/11/2020|02/12/2020|02/13/2020|02/14/2020|02/15/2020|02/16/2020|02/17/2020|02/18/2020|02/19/2020|02/20/2020|02/21/2020|02/22/2020|02/23/2020|02/24/2020|02/25/2020|02/26/2020|02/27/2020|02/28/2020|02/29/2020|03/01/2020|03/02/2020|03/03/2020|03/04/2020|03/05/2020|03/06/2020|03/07/2020|03/08/2020|03/09/2020|03/10/2020|03/11/2020|03/12/2020|03/13/2020|03/14/2020|03/15/2020|03/16/2020|03/17/2020|03/18/2020|03/19/2020|03/20/2020|03/21/2020|03/22/2020|03/23/2020|03/24/2020|03/25/2020|03/26/2020|03/27/2020|03/28/2020|03/29/2020|03/30/2020|03/31/2020|04/01/2020|04/02/2020|04/03/2020|04/04/2020|04/05/2020|04/06/2020|04/07/2020|04/08/2020|04/09/2020|04/10/2020|04/11/2020|04/12/2020|04/13/2020|04/14/2020|04/15/2020|04/16/2020|04/17/2020|04/18/2020|04/19/2020|04/20/2020|04/21/2020|04/22/2020|04/23/2020
1|N/A|N/A|N/A|N/A|World|0.0|0.0|C|555|655|943|1436|2118|2927|5580|6166|8237|9927|12038|16788|19881|23892|27635|30824|34391|37120|40150|42762|44802|45221|60368|66885|69030|71224|73258|75137|75639|76197|76819|78572|78959|79526|80371|81346|82704|84069|85974|88327|90262|92798|95082|97844|101768|105790|109759|113538|118390|125734|128298|145228|156237|166927|181286|196807|216228|242977|272424|304906|337487|378095|418114|467721|529649|593695|660822|720325|782442|857496|932492|1013340|1095718|1175876|1249523|1321156|1396106|1479861|1565301|1657531|1735688|1834920|1905181|1975209|2055065|2151482|2239147|2316860|2400123|2471252|2548116|2622918|2707728
2|N/A|N/A|N/A|N/A|World|0.0|0.0|D|17|18|26|42|56|82|131|133|171|213|259|362|426|492|564|634|719|806|906|1013|1113|1118|1371|1523|1666|1770|1868|2008|2123|2247|2251|2458|2469|2629|2708|2770|2814|2872|2941|2996|3085|3161|3254|3348|3460|3558|3803|3988|4264|4611|4720|5408|5821|6438|7132|7907|8769|9883|11317|13019|14667|16510|18634|21190|23987|27214|30825|34034|37727|42345|47564|53365|59122|64594|69262|74605|81949|88364|95557|102576|108525|114104|119533|126019|134213|144125|153842|159534|165092|170108|176619|183083|190857
3|N/A|N/A|N/A|N/A|World|0.0|0.0|R|28|30|36|40|53|62|108|128|143|223|288|472|624|854|1124|1487|2012|2616|3241|3945|4682|5149|6292|8056|9394|10863|12580|14349|16118|18174|18885|22881|23389|25222|27928|30378|33271|36704|39775|42709|45596|48221|51163|53791|55858|58351|60690|62488|64398|66999|68312|70249|72612|76032|78074|80825|83209|84865|87281|91538|97721|98203|107673|113429|121472|130056|138344|146426|158956|171014|184704|201274|216097|231512|242628|256935|278294|305103|328565|347309|370842|388736|405175|426498|458923|487678|509801|527485|553570|573409|604618|632330|658283
4|N/A|N/A|N/A|Afghanistan|Afghanistan|33.0|65.0|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|4|4|5|7|7|7|11|16|21|22|22|22|24|24|40|40|74|84|94|110|110|120|170|174|237|273|281|299|349|367|423|444|484|521|555|607|665|714|784|840|906|933|996|1026|1092|1176|1279
5|N/A|N/A|N/A|Afghanistan|Afghanistan|33.0|65.0|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|4|4|4|4|4|4|4|6|6|7|7|11|14|14|15|15|18|18|21|23|25|30|30|30|33|36|36|40|42
6|N/A|N/A|N/A|Afghanistan|Afghanistan|33.0|65.0|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|5|5|10|10|10|15|18|18|29|32|32|32|32|32|40|43|54|99|112|131|135|150|166|179
7|N/A|N/A|N/A|Albania|Albania|41.1533|20.1683|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|10|12|23|33|38|42|51|55|59|64|70|76|89|104|123|146|174|186|197|212|223|243|259|277|304|333|361|377|383|400|409|416|433|446|467|475|494|518|539|548|562|584|609|634|663
8|N/A|N/A|N/A|Albania|Albania|41.1533|20.1683|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|4|5|5|6|8|10|10|11|15|15|16|17|20|20|21|22|22|23|23|23|23|23|24|25|26|26|26|26|26|26|27|27
9|N/A|N/A|N/A|Albania|Albania|41.1533|20.1683|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|10|17|17|31|31|33|44|52|67|76|89|99|104|116|131|154|165|182|197|217|232|248|251|277|283|302|314|327|345|356|385
10|N/A|N/A|N/A|Algeria|Algeria|28.0339|1.6596|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|3|5|12|12|17|17|19|20|20|20|24|26|37|48|54|60|74|87|90|139|201|230|264|302|367|409|454|511|584|716|847|986|1171|1251|1320|1423|1468|1572|1666|1761|1825|1914|1983|2070|2160|2268|2418|2534|2629|2718|2811|2910|3007
11|N/A|N/A|N/A|Algeria|Algeria|28.0339|1.6596|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|3|4|4|4|7|9|11|15|17|17|19|21|25|26|29|31|35|44|58|86|105|130|152|173|193|205|235|256|275|293|313|326|336|348|364|367|375|384|392|402|407
12|N/A|N/A|N/A|Algeria|Algeria|28.0339|1.6596|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|8|8|12|12|12|12|12|32|32|32|65|65|24|65|29|29|31|31|37|46|61|61|62|90|90|90|113|237|347|405|460|591|601|691|708|783|846|894|1047|1099|1152|1204|1355
13|N/A|N/A|N/A|Andorra|Andorra|42.5063|1.5218|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|39|39|53|75|88|113|133|164|188|224|267|308|334|370|376|390|428|439|466|501|525|545|564|583|601|601|638|646|659|673|673|696|704|713|717|717|723|723
14|N/A|N/A|N/A|Andorra|Andorra|42.5063|1.5218|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|6|8|12|14|15|16|17|18|21|22|23|25|26|26|29|29|31|33|33|35|35|36|37|37|37|37
15|N/A|N/A|N/A|Andorra|Andorra|42.5063|1.5218|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|10|10|10|10|16|21|26|31|39|52|58|71|71|128|128|128|169|169|191|205|235|248|282|309|333
16|N/A|N/A|N/A|Angola|Angola|-11.2027|17.8739|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|3|3|3|4|4|5|7|7|7|8|8|8|10|14|16|17|19|19|19|19|19|19|19|19|19|19|24|24|24|24|25|25
17|N/A|N/A|N/A|Angola|Angola|-11.2027|17.8739|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2
18|N/A|N/A|N/A|Angola|Angola|-11.2027|17.8739|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|2|2|2|2|2|2|4|4|4|5|5|5|5|6|6|6|6|6|6
19|N/A|N/A|N/A|Antigua and Barbuda|Antigua and Barbuda|17.0608|-61.7964|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|3|7|7|7|7|7|7|7|9|15|15|15|15|19|19|19|19|21|21|23|23|23|23|23|23|23|23|23|24|24
20|N/A|N/A|N/A|Antigua and Barbuda|Antigua and Barbuda|17.0608|-61.7964|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3
21|N/A|N/A|N/A|Antigua and Barbuda|Antigua and Barbuda|17.0608|-61.7964|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|3|3|3|3|3|3|7|10|10
22|N/A|N/A|N/A|Argentina|Argentina|-38.4161|-63.6167|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|8|12|12|17|19|19|31|34|45|56|68|79|97|128|158|266|301|387|387|502|589|690|745|820|1054|1054|1133|1265|1451|1451|1554|1628|1715|1795|1975|1975|2142|2208|2277|2443|2571|2669|2758|2839|2941|3031|3144|3435
23|N/A|N/A|N/A|Argentina|Argentina|-38.4161|-63.6167|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|2|2|3|3|4|4|4|6|8|9|13|18|19|23|27|28|36|39|43|44|48|56|63|72|82|83|90|97|102|111|115|123|129|132|136|147|152|165
24|N/A|N/A|N/A|Argentina|Argentina|-38.4161|-63.6167|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|3|3|3|3|3|3|3|52|52|63|72|72|72|228|240|248|256|266|279|280|325|338|358|365|375|440|468|515|559|596|631|666|685|709|737|840|872|919
25|N/A|N/A|N/A|Armenia|Armenia|40.0691|45.0382|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|4|8|18|26|52|78|84|115|136|160|194|235|249|265|290|329|407|424|482|532|571|663|736|770|822|833|853|881|921|937|967|1013|1039|1067|1111|1159|1201|1248|1291|1339|1401|1473|1523
26|N/A|N/A|N/A|Armenia|Armenia|40.0691|45.0382|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|3|3|3|4|7|7|7|7|8|8|9|10|12|13|13|14|16|17|18|19|20|20|22|24|24|24
27|N/A|N/A|N/A|Armenia|Armenia|40.0691|45.0382|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|14|16|18|28|30|30|30|30|31|33|43|43|57|62|87|114|138|149|173|197|211|265|297|358|402|523|545|580|609|633|659
28|N/A|N/A|N/A|Australia|Australia|-35.4735|149.0124|C|0|0|0|2|4|5|5|6|9|9|12|12|12|13|13|14|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|16|25|27|30|39|52|55|60|63|76|91|107|128|128|200|250|297|377|452|568|681|791|1071|1549|1682|2044|2364|2810|3143|3640|3984|4361|4559|4862|5116|5330|5550|5687|5797|5895|6010|6108|6215|6303|6315|6351|6415|6440|6462|6522|6568|6610|6623|6645|6652|6662
29|N/A|N/A|N/A|Australia|Australia|-35.4735|149.0124|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|3|3|3|3|3|3|3|3|3|5|6|6|7|7|7|7|8|10|13|13|14|16|17|18|20|24|28|30|35|40|45|50|51|54|57|60|61|62|63|63|66|67|67|67|67|67|75
30|N/A|N/A|N/A|Australia|Australia|-35.4735|149.0124|R|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|2|2|2|2|2|4|8|8|8|9|10|10|10|10|11|11|11|11|11|11|11|11|11|11|11|11|11|21|21|21|21|21|21|21|21|23|23|23|23|23|25|26|26|26|88|88|115|119|172|194|244|244|257|358|422|520|649|701|757|1080|1080|1080|1472|1793|1806|1806|1806|2186|2186|2355|3808|4124|4124|4124|4124|4124|4124
31|N/A|N/A|Australian Capital Territory|Australia|Australian Capital Territory, Australia|-35.4735|149.0124|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|3|4|6|9|19|32|39|39|53|62|71|77|78|80|84|87|91|93|96|96|96|99|100|103|103|103|102|103|103|103|103|103|103|104|104|104|104
32|N/A|N/A|Australian Capital Territory|Australia|Australian Capital Territory, Australia|-35.4735|149.0124|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3
33|N/A|N/A|Australian Capital Territory|Australia|Australian Capital Territory, Australia|-35.4735|149.0124|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|2|2|3|8|11|18|18|28|40|40|40|47|59|59|59|59|72|72|82|81|88|88|88|88|88|88
34|N/A|N/A|New South Wales|Australia|New South Wales, Australia|-33.8688|151.2093|C|0|0|0|2|3|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|6|6|13|22|22|26|28|38|48|55|65|65|92|112|134|171|210|267|307|353|436|669|669|818|1029|1219|1405|1617|1791|2032|2032|2182|2298|2389|2493|2580|2637|2686|2734|2773|2822|2857|2857|2863|2870|2886|2897|2926|2936|2957|2963|2969|2971|2976
35|N/A|N/A|New South Wales|Australia|New South Wales, Australia|-33.8688|151.2093|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|2|2|2|2|2|2|2|2|4|5|5|6|6|6|6|7|7|7|7|8|8|8|8|9|10|12|12|16|18|21|21|21|22|23|24|25|25|25|25|26|26|26|26|26|26|31
36|N/A|N/A|New South Wales|Australia|New South Wales, Australia|-33.8688|151.2093|R|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|1379|1379|1379|1379|1379|1379|1379
37|N/A|N/A|Northern Territory|Australia|Northern Territory, Australia|-12.4634|130.8456|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|3|3|5|5|6|6|12|12|15|15|15|17|19|21|22|26|27|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28
38|N/A|N/A|Northern Territory|Australia|Northern Territory, Australia|-12.4634|130.8456|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
39|N/A|N/A|Northern Territory|Australia|Northern Territory, Australia|-12.4634|130.8456|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|2|2|2|2|2|2|2|6|6|6|9|9|9|9|9|9|9
40|N/A|N/A|Queensland|Australia|Queensland, Australia|-28.0167|153.4|C|0|0|0|0|0|0|0|1|3|2|3|2|2|3|3|4|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|9|9|9|11|11|13|13|13|15|15|18|20|20|35|46|61|68|78|94|144|184|221|259|319|397|443|493|555|625|656|689|743|781|835|873|900|907|921|934|943|953|965|974|983|987|998|999|1001|1007|1015|1019|1019|1024|1024|1026
41|N/A|N/A|Queensland|Australia|Queensland, Australia|-28.0167|153.4|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|4|4|4|4|4|4|4|4|4|5|5|5|5|5|5|5|6|6|6|6|6|6
42|N/A|N/A|Queensland|Australia|Queensland, Australia|-28.0167|153.4|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|173|173|173|345|372|372|372|372|442|442|442|442|738|738|738|738|738|738
43|N/A|N/A|South Australia|Australia|South Australia, Australia|-34.9285|138.6007|C|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|5|5|7|7|7|7|7|9|9|16|19|20|29|29|37|42|50|67|100|134|170|170|235|257|287|299|305|337|367|367|396|407|407|411|411|415|420|428|429|429|429|433|433|433|435|435|435|435|437|438|438
44|N/A|N/A|South Australia|Australia|South Australia, Australia|-34.9285|138.6007|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|3|3|3|4|4|4|4|4|4|4|4|4|4|4|4
45|N/A|N/A|South Australia|Australia|South Australia, Australia|-34.9285|138.6007|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|6|6|6|6|6|6|6|6|6|46|46|46|53|53|53|120|179|179|179|179|240|240|279|331|331|331|331|331|331|331
46|N/A|N/A|Tasmania|Australia|Tasmania, Australia|-41.4545|145.9707|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|2|3|3|5|5|6|7|7|10|10|10|16|22|28|28|36|47|47|62|66|66|69|69|72|74|80|82|86|89|98|111|122|133|133|144|165|165|169|180|188|195|200|201|205|207
47|N/A|N/A|Tasmania|Australia|Tasmania, Australia|-41.4545|145.9707|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|3|3|4|4|5|5|6|6|6|7|7|7|7|7|7|8
48|N/A|N/A|Tasmania|Australia|Tasmania, Australia|-41.4545|145.9707|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|3|3|3|3|3|3|3|3|5|5|5|5|5|5|5|5|5|26|26|26|48|48|48|48|48|53|53|67|67|67|67|67|67|67|67
49|N/A|N/A|Victoria|Australia|Victoria, Australia|-37.8136|144.9631|C|0|0|0|0|1|1|1|1|2|3|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|7|7|9|9|10|10|10|11|11|15|18|21|21|36|49|57|71|94|121|121|121|229|355|355|411|466|520|574|685|769|821|917|968|1036|1085|1115|1135|1158|1191|1212|1228|1241|1265|1268|1281|1291|1299|1299|1302|1319|1328|1329|1336|1336|1337
50|N/A|N/A|Victoria|Australia|Victoria, Australia|-37.8136|144.9631|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|3|3|4|4|4|4|5|7|8|8|10|11|12|12|13|14|14|14|14|14|14|14|14|14|14|14|14|16
51|N/A|N/A|Victoria|Australia|Victoria, Australia|-37.8136|144.9631|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|7|7|7|7|7|7|7|7|8|8|8|8|8|8|8|8|8|70|70|97|97|149|171|191|191|191|291|343|422|476|527|573|620|620|620|736|926|926|926|926|1118|1118|1137|1159|1172|1172|1172|1172|1172|1172
52|N/A|N/A|Western Australia|Australia|Western Australia, Australia|-31.9505|115.8605|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|3|3|3|3|4|6|9|9|14|17|17|28|31|35|52|64|90|120|140|175|175|231|231|278|311|355|364|392|400|400|436|453|460|460|481|495|506|514|514|517|527|527|532|541|544|545|545|546|546|546
53|N/A|N/A|Western Australia|Australia|Western Australia, Australia|-31.9505|115.8605|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|3|4|4|6|6|6|6|6|6|6|6|6|7|7|7|7|7|7|7
54|N/A|N/A|Western Australia|Australia|Western Australia, Australia|-31.9505|115.8605|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|28|28|41|41|48|64|92|92|92|162|162|162|170|203|216|216|216|251|251|338|340|340|340|340|340|340|340
55|N/A|N/A|N/A|Austria|Austria|47.5162|14.5501|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|3|3|9|14|18|21|29|41|55|79|104|131|182|246|302|504|655|860|1018|1332|1646|2013|2388|2814|3582|4474|5283|5588|6909|7657|8271|8788|9618|10180|10711|11129|11524|11781|12051|12297|12639|12942|13244|13555|13806|13945|14041|14226|14336|14476|14595|14671|14749|14795|14873|14925|15002
56|N/A|N/A|N/A|Austria|Austria|47.5162|14.5501|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|4|6|6|8|16|21|28|30|49|58|68|86|108|128|146|158|168|186|204|220|243|273|295|319|337|350|368|384|393|410|431|443|452|470|491|510|522
